,Species,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g)
0,Adelie,"(37.6, 40.35]","(18.14, 18.98]","(177.9, 183.8]","(3420.0, 3780.0]"
1,Adelie,"(37.6, 40.35]","(17.3, 18.14]","(183.8, 189.7]","(3780.0, 4140.0]"
2,Adelie,"(37.6, 40.35]","(17.3, 18.14]","(189.7, 195.6]","(3060.0, 3420.0]"
4,Adelie,"(34.85, 37.6]","(18.98, 19.82]","(189.7, 195.6]","(3420.0, 3780.0]"
5,Adelie,"(37.6, 40.35]","(19.82, 20.66]","(189.7, 195.6]","(3420.0, 3780.0]"
6,Adelie,"(37.6, 40.35]","(17.3, 18.14]","(177.9, 183.8]","(3420.0, 3780.0]"
7,Adelie,"(37.6, 40.35]","(18.98, 19.82]","(189.7, 195.6]","(4500.0, 4860.0]"
8,Adelie,"(32.072, 34.85]","(17.3, 18.14]","(189.7, 195.6]","(3420.0, 3780.0]"
9,Adelie,"(40.35, 43.1]","(19.82, 20.66]","(189.7, 195.6]","(4140.0, 4500.0]"
10,Adelie,"(37.6, 40.35]","(16.46, 17.3]","(183.8, 189.7]","(3060.0, 3420.0]"
11,Adelie,"(37.6, 40.35]","(16.46, 17.3]","(177.9, 183.8]","(3420.0, 3780.0]"
12,Adelie,"(40.35, 43.1]","(17.3, 18.14]","(177.9, 183.8]","(3060.0, 3420.0]"
13,Adelie,"(37.6, 40.35]","(20.66, 21.5]","(189.7, 195.6]","(3780.0, 4140.0]"
14,Adelie,"(32.072, 34.85]","(20.66, 21.5]","(195.6, 201.5]","(4140.0, 4500.0]"
15,Adelie,"(34.85, 37.6]","(17.3, 18.14]","(183.8, 189.7]","(3420.0, 3780.0]"
16,Adelie,"(37.6, 40.35]","(18.98, 19.82]","(189.7, 195.6]","(3420.0, 3780.0]"
17,Adelie,"(40.35, 43.1]","(20.66, 21.5]","(195.6, 201.5]","(4140.0, 4500.0]"
18,Adelie,"(32.072, 34.85]","(18.14, 18.98]","(183.8, 189.7]","(3060.0, 3420.0]"
19,Adelie,"(45.85, 48.6]","(20.66, 21.5]","(189.7, 195.6]","(4140.0, 4500.0]"
20,Adelie,"(37.6, 40.35]","(18.14, 18.98]","(171.941, 177.9]","(3060.0, 3420.0]"
21,Adelie,"(37.6, 40.35]","(18.14, 18.98]","(177.9, 183.8]","(3420.0, 3780.0]"
22,Adelie,"(34.85, 37.6]","(18.98, 19.82]","(183.8, 189.7]","(3780.0, 4140.0]"
23,Adelie,"(37.6, 40.35]","(17.3, 18.14]","(183.8, 189.7]","(3780.0, 4140.0]"
24,Adelie,"(37.6, 40.35]","(16.46, 17.3]","(177.9, 183.8]","(3780.0, 4140.0]"
25,Adelie,"(34.85, 37.6]","(18.14, 18.98]","(183.8, 189.7]","(3780.0, 4140.0]"
26,Adelie,"(40.35, 43.1]","(18.14, 18.98]","(177.9, 183.8]","(3420.0, 3780.0]"
27,Adelie,"(40.35, 43.1]","(17.3, 18.14]","(183.8, 189.7]","(3060.0, 3420.0]"
28,Adelie,"(37.6, 40.35]","(18.14, 18.98]","(171.941, 177.9]","(3060.0, 3420.0]"
29,Adelie,"(40.35, 43.1]","(18.14, 18.98]","(177.9, 183.8]","(3780.0, 4140.0]"
30,Adelie,"(37.6, 40.35]","(16.46, 17.3]","(177.9, 183.8]","(3060.0, 3420.0]"
31,Adelie,"(34.85, 37.6]","(17.3, 18.14]","(177.9, 183.8]","(3780.0, 4140.0]"
32,Adelie,"(37.6, 40.35]","(17.3, 18.14]","(183.8, 189.7]","(3060.0, 3420.0]"
33,Adelie,"(40.35, 43.1]","(18.14, 18.98]","(183.8, 189.7]","(3780.0, 4140.0]"
34,Adelie,"(34.85, 37.6]","(16.46, 17.3]","(189.7, 195.6]","(3060.0, 3420.0]"
35,Adelie,"(37.6, 40.35]","(20.66, 21.5]","(195.6, 201.5]","(4140.0, 4500.0]"
36,Adelie,"(37.6, 40.35]","(19.82, 20.66]","(189.7, 195.6]","(3780.0, 4140.0]"
37,Adelie,"(40.35, 43.1]","(18.14, 18.98]","(177.9, 183.8]","(3420.0, 3780.0]"
38,Adelie,"(34.85, 37.6]","(18.98, 19.82]","(177.9, 183.8]","(3060.0, 3420.0]"
39,Adelie,"(37.6, 40.35]","(18.98, 19.82]","(183.8, 189.7]","(4500.0, 4860.0]"
40,Adelie,"(34.85, 37.6]","(17.3, 18.14]","(177.9, 183.8]","(3060.0, 3420.0]"
41,Adelie,"(40.35, 43.1]","(18.14, 18.98]","(189.7, 195.6]","(3780.0, 4140.0]"
42,Adelie,"(34.85, 37.6]","(18.14, 18.98]","(183.8, 189.7]","(3060.0, 3420.0]"
43,Adelie,"(43.1, 45.85]","(18.98, 19.82]","(195.6, 201.5]","(4140.0, 4500.0]"
44,Adelie,"(34.85, 37.6]","(16.46, 17.3]","(183.8, 189.7]","(2696.4, 3060.0]"
45,Adelie,"(37.6, 40.35]","(18.14, 18.98]","(189.7, 195.6]","(4500.0, 4860.0]"
46,Adelie,"(40.35, 43.1]","(18.98, 19.82]","(177.9, 183.8]","(3420.0, 3780.0]"
47,Adelie,"(34.85, 37.6]","(18.14, 18.98]","(177.9, 183.8]","(2696.4, 3060.0]"
48,Adelie,"(34.85, 37.6]","(17.3, 18.14]","(189.7, 195.6]","(3420.0, 3780.0]"
49,Adelie,"(40.35, 43.1]","(20.66, 21.5]","(189.7, 195.6]","(4140.0, 4500.0]"
50,Adelie,"(37.6, 40.35]","(17.3, 18.14]","(183.8, 189.7]","(3420.0, 3780.0]"
51,Adelie,"(37.6, 40.35]","(18.14, 18.98]","(183.8, 189.7]","(4140.0, 4500.0]"
52,Adelie,"(34.85, 37.6]","(17.3, 18.14]","(189.7, 195.6]","(3420.0, 3780.0]"
53,Adelie,"(40.35, 43.1]","(18.98, 19.82]","(195.6, 201.5]","(3780.0, 4140.0]"
54,Adelie,"(32.072, 34.85]","(17.3, 18.14]","(183.8, 189.7]","(2696.4, 3060.0]"
55,Adelie,"(40.35, 43.1]","(18.14, 18.98]","(189.7, 195.6]","(3420.0, 3780.0]"
56,Adelie,"(37.6, 40.35]","(17.3, 18.14]","(183.8, 189.7]","(3420.0, 3780.0]"
57,Adelie,"(40.35, 43.1]","(18.14, 18.98]","(189.7, 195.6]","(3780.0, 4140.0]"
58,Adelie,"(34.85, 37.6]","(16.46, 17.3]","(177.9, 183.8]","(2696.4, 3060.0]"
59,Adelie,"(34.85, 37.6]","(18.98, 19.82]","(189.7, 195.6]","(3420.0, 3780.0]"
60,Adelie,"(34.85, 37.6]","(16.46, 17.3]","(183.8, 189.7]","(3060.0, 3420.0]"
61,Adelie,"(40.35, 43.1]","(20.66, 21.5]","(189.7, 195.6]","(4140.0, 4500.0]"
62,Adelie,"(34.85, 37.6]","(16.46, 17.3]","(183.8, 189.7]","(3420.0, 3780.0]"
63,Adelie,"(40.35, 43.1]","(18.14, 18.98]","(189.7, 195.6]","(3780.0, 4140.0]"
64,Adelie,"(34.85, 37.6]","(16.46, 17.3]","(183.8, 189.7]","(2696.4, 3060.0]"
65,Adelie,"(40.35, 43.1]","(17.3, 18.14]","(189.7, 195.6]","(3780.0, 4140.0]"
66,Adelie,"(34.85, 37.6]","(15.62, 16.46]","(189.7, 195.6]","(3060.0, 3420.0]"
